SPECIE;CV;DATA;GG
MELO;Zhen;20;30-set
NOCCIOLO;Apolda;30;19-set
NOCCIOLO;Barcelona;20;09-set
NOCCIOLO;Bergeri;35;24-set
NOCCIOLO;Butler;13;02-set
NOCCIOLO;Camponica;-3;17-ago
NOCCIOLO;Carabel;25;14-set
NOCCIOLO;Cosford;15;04-set
NOCCIOLO;Daria;3;23-ago
NOCCIOLO;Daviana;20;09-set
NOCCIOLO;Ennis;18;07-set
NOCCIOLO;Ghirara;12;01-set
NOCCIOLO;Grifoll;10;30-ago
NOCCIOLO;Morell;35;24-set
NOCCIOLO;Mortarella;-5;15-ago
NOCCIOLO;Negret;20;09-set
NOCCIOLO;Nocchione;5;25-ago
NOCCIOLO;Pauetet;10;30-ago
NOCCIOLO;Riccia di Talanico;12;01-set
NOCCIOLO;San Giovanni;-5;15-ago
NOCCIOLO;Santa Maria del Gesù;15;04-set
NOCCIOLO;Segorbe;5;25-ago
NOCCIOLO;Tonda Bianca;30;19-set
NOCCIOLO;Tonda di Giffoni;-5;15-ago
NOCCIOLO;Tonda Gentile delle Langhe;0;20-ago
NOCCIOLO;Tonda Gentile Romana;10;30-ago
NOCCIOLO;Tonda Rossa;35;24-set
NOCE;Amigo;20;05-ott
NOCE;Bleggiana (tr10);8;23-set
NOCE;Bleggiana (tr2);5;20-set
NOCE;Bleggiana (tr5);-15;31-ago
NOCE;Bleggiana (tr6);25;10-ott
NOCE;Bleggiana (tr7);-10;05-set
NOCE;Bleggiana (tr8);2;17-set
NOCE;Bleggiana (tr9);2;17-set
NOCE;Chandler;15;30-set
NOCE;Chico;-15;31-ago
NOCE;Corne;30;15-ott
NOCE;Eureka;1;16-set
NOCE;Feltrina (to1);15;30-set
NOCE;Franquette;25;10-ott
NOCE;Hartley;-2;13-set
NOCE;Howard;5;20-set
NOCE;Lara;25;10-ott
NOCE;Mayette;30;15-ott
NOCE;Parisienne;20;05-ott
NOCE;Payne;-15;31-ago
NOCE;Serr;-4;11-set
NOCE;Sorrento;0;15-set
PERO;Abate Fetel;26;31-ago
PERO;Abate Light;25;30-ago
PERO;Abbe Fetel;38;12-set
PERO;AC Harrow Bounty;35;09-set
PERO;Ac Harrow Crisp;10;15-ago
PERO;Ac Harrow Delicious;-5;31-lug
PERO;Ac Harrow Gold;-10;26-lug
PERO;Aida;15;20-ago
PERO;Angelys;45;19-set
PERO;Bella di giugno;-53;13-giu
PERO;Beurré Alexander Lucas;21;26-ago
PERO;Beurre Hardy;15;20-ago
PERO;Bohéme;-30;06-lug
PERO;Butirra Hardy;35;09-set
PERO;Carmen;-23;13-lug
PERO;Cascade;20;25-ago
PERO;Cheeky;14;19-ago
PERO;Cocomerina;25;30-ago
PERO;Concorde;21;26-ago
PERO;Conference;30;04-set
PERO;Conference Light;21;26-ago
PERO;Coscia;-20;16-lug
PERO;Crea 194;-13;23-lug
PERO;Debby Green;-5;31-lug
PERO;Decana del Comizio;35;09-set
PERO;Doynne Du Comice;40;14-set
PERO;Dr. Jules Guyot;-15;21-lug
PERO;Durondeau;10;15-ago
PERO;Early Giulia;-15;21-lug
PERO;Elliot;28;02-set
PERO;Ercole d'Este;15;20-ago
PERO;Etrusca;-25;11-lug
PERO;Falsa Recchia;-1;04-ago
PERO;Falstaff;30;04-set
PERO;Fertilia Delbard;25;30-ago
PERO;Fred;51;25-set
PERO;Garden gem;30;04-set
PERO;Garden pearl;50;24-set
PERO;Harovin Sundown;35;09-set
PERO;Harrow sweet;22;27-ago
PERO;Highland;20;25-ago
PERO;Homored;0;05-ago
PERO;HW 623;15;20-ago
PERO;Kaiser;35;09-set
PERO;Louise Bonne;25;30-ago
PERO;Lucy Red;15;20-ago
PERO;Lucy Sweet;-10;26-lug
PERO;Max Red Bartlett;14;19-ago
PERO;Migo;30;04-set
PERO;Norma;-20;16-lug
PERO;Obelisk;55;29-set
PERO;Packham's Triumph;0;05-ago
PERO;Passa Crassana;50;24-set
PERO;Precoce di Fiorano;-40;26-giu
PERO;Rocha;0;05-ago
PERO;Rosada;25;30-ago
PERO;Sabina;5;10-ago
PERO;Santa Maria;-12;24-lug
PERO;Spadona;-10;26-lug
PERO;Sweet Sensation;10;15-ago
PERO;Tosca;-16;20-lug
PERO;Triomphe De Vienne;5;10-ago
PERO;Turandot;-30;06-lug
PERO;Volpino;55;29-set
PERO;William;0;05-ago
PERO;Williams bon Chrétien;5;10-ago
PESCO;21 08PAV;49;20-ago
PESCO;23 08PAV;35;06-ago
PESCO;757 11PB;-17;15-giu
PESCO;Adelfar;-29;03-giu
PESCO;Adriatica;4;06-lug
PESCO;Agate;58;29-ago
PESCO;Alabama;8;10-lug
PESCO;Alexa;62;02-set
PESCO;Alexandra;-17;15-giu
PESCO;Aliblanca;39;10-ago
PESCO;Alice;-10;22-giu
PESCO;Alice-col;-3;29-giu
PESCO;Alipersié;4;06-lug
PESCO;Alirosada;8;10-lug
PESCO;Alitop;7;09-lug
PESCO;Alix;-10;22-giu
