UUID;Variety Denomination;Variety Denomination Synonym(s) ;UPOV Species Code;Variety Status;EU Variety Status;Variety ID;GMO;Hybrid;Organic;Pollinator;Registration Date;Maintainer N°
198993;Laudata;Laudata;BETAA_VUL_GVS;Registered;Yes;Catalogue Modification;N;;;;19/10/2007;1890
198840;Karioka;Karioka;BETAA_VUL_GVS;Registered;Yes;Catalogue Modification;N;;;;14/03/2013;1771 / 1104
200524;Troika;Troika;BETAA_VUL_GVS;Registered;Yes;Catalogue Modification;N;;;;14/03/2013;1771 / 1104
199356;Mishel;Mishel;BETAA_VUL_GVS;Registered;Yes;Catalogue Modification;N;;;;14/03/2013;1771 / 1104
199946;Ritter;Ritter;BETAA_VUL_GVS;Registered;Yes;Modification;N;;;;29/03/2014;1890
198856;Kavala;Kavala;BETAA_VUL_GVS;Registered;Yes;Modification;N;;;;29/03/2014;1890
200653;Volga;Volga;BETAA_VUL_GVS;Registered;Yes;Modification;N;;;;30/03/2018;1681
198524;HM1820;HM1820;BETAA_VUL_GVS;Registered;Yes;Modification;N;;;;30/03/2018;1681
200507;Triada;Triada;BETAA_VUL_GVS;Registered;Yes;Modification;N;;;;30/03/2018;1681
198957;Kvinta;Kvinta;BETAA_VUL_GVS;Registered;No;;N;;;;30/03/2018;1681
197455;Boruta;Boruta;BETAA_VUL_GVS;Registered;Yes;Modification;N;;;;30/03/2018;1681
199478;Nero;Nero;BETAA_VUL_GVS;Registered;Yes;Modification;N;;;;30/03/2018;1681
197073;Attack;Attack;BETAA_VUL_GVS;Registered;Yes;Catalogue Modification;N;;;;30/03/2017;1890
301164;Karima;Karima;BETAA_VUL_GVS;Registered;Yes;Catalogue Modification;N;;;;30/03/2018;1890
199429;Nabila;Nabila;BETAA_VUL_GVS;Registered;Yes;Catalogue Modification;N;;;;30/03/2018;1890
199171;Maimouna;Maimouna;BETAA_VUL_GVS;Registered;Yes;Catalogue Modification;N;;;;30/03/2018;1890
199861;Ras poly;Ras poly;BETAA_VUL_GVS;Registered;No;Catalogue Addition;N;;;;03/02/2019;1890
198520;H Poly 1;H Poly 1;BETAA_VUL_GVS;Registered;Yes;Catalogue Modification;N;;;;03/02/2019;1890
199042;Lien;Lien;BETAA_VUL_GVS;Registered;No;Catalogue Modification;N;;;;03/02/2019;1890
200577;Valzer;Valzer;BETAA_VUL_GVS;Registered;No;Catalogue Modification;N;;;;03/02/2019;1890
197938;Dita;Dita;BETAA_VUL_GVS;Registered;Yes;Modification;N;;;;21/10/2002;479
196764;A156;A156;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;16/02/2004;1266
196765;A159;A159;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;27/03/2006;1266
196766;A166;A166;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;16/01/2007;1266
196767;A177;A177;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;14/03/2005;1266
196768;A911;A911;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;27/03/2006;1266
196781;Accent;Accent;BETAA_VUL_GVS;Registered;Yes;;N;;;;13/06/2019;479
196805;Adria;Adria;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;1049
196807;Adriatica;Adriatica;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;31/03/2000;60
196808;Adrienne;Adrienne;BETAA_VUL_GVS;Surrendered;No;;N;;;;;
196833;Airone;Airone;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;04/11/2002;359
196849;Albertine;Albertine;BETAA_VUL_GVS;Surrendered;No;;N;;;;;359
196853;Alcione;Alcione;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;
196854;Alcor;Alcor;BETAA_VUL_GVS;Registered;Yes;;N;;;;11/03/2014;479
196856;Aldebaran;Aldebaran;BETAA_VUL_GVS;Registered;Yes;;N;;;;01/03/2016;479
196860;Alesia;Alesia;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;60
196875;Alkara;Alkara;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;16/10/2003;359
196884;Aloe;Aloe;BETAA_VUL_GVS;Registered;Yes;;N;;;;11/03/2014;212
196892;Altea;Altea;BETAA_VUL_GVS;Registered;Yes;;N;;;;29/03/2017;479
196906;Amata;Amata;BETAA_VUL_GVS;Surrendered;No;;N;;;;14/03/2005;496
196907;Amateia;Amateia;BETAA_VUL_GVS;Registered;Yes;;N;;;;23/12/2010;479
196912;Ambert;Ambert;BETAA_VUL_GVS;Registered;Yes;;N;;;;30/03/2018;1681
196913;Ambita;Ambita;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;24/05/2007;496
196914;Ambra;Ambra;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;16/01/2007;1266
196916;America;America;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;02/04/2008;264
196921;Amos;Amos;BETAA_VUL_GVS;Registered;No;;N;;;;11/03/2014;479
196932;Andes;Andes;BETAA_VUL_GVS;Registered;Yes;;N;;;;11/03/2015;479
196944;Anita;Anita;BETAA_VUL_GVS;Surrendered;No;;N;;;;;359
196949;Annalisa;;BETAA_VUL_GVS;Surrendered;No;;N;;;;27/03/2006;
196973;Antinea KWS;Antinea KWS;BETAA_VUL_GVS;Surrendered;No;;N;;;;24/01/2008;
196981;Appia;Appia;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;
196984;Aquila;Aquila;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;04/11/2002;359
196986;Ara;Ara;BETAA_VUL_GVS;Registered;Yes;;N;;;;20/10/2015;479
196987;Arabesqua KWS;Arabesqua KWS;BETAA_VUL_GVS;Registered;No;;N;;;;07/01/2021;183
196988;Arafa;Arafa;BETAA_VUL_GVS;Registered;Yes;;N;;;;18/06/2018;587
196996;Arca;Arca;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;571
197002;Arco;Arco;BETAA_VUL_GVS;Surrendered;No;;N;;;;;15
197010;Argo;Argo;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;16/01/2007;1266
197017;Ariete;Ariete;BETAA_VUL_GVS;Registered;Yes;;N;;;;29/03/2017;479
197052;Asso;Asso;BETAA_VUL_GVS;Surrendered;No;;N;;;;16/01/2007;1266
292023;Astro;Astro;BETAA_VUL_GVS;Registered;Yes;;N;;;;18/06/2018;479
197069;Atleta;Atleta;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;21/01/2008;1266
197077;Atum;Atum;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;359
197079;Auge;Auge;BETAA_VUL_GVS;Registered;No;;N;;;;29/03/2017;479
197081;Augusta;Augusta;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;264
197082;Aumenta;Aumenta;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;28/09/2007;1266
197083;Aura;Aura;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;264
197091;Autapoli;Autapoli;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;16/01/2007;1266
197092;Autapolimono;Autapolimono;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;16/01/2007;1266
197093;Autave;Autave;BETAA_VUL_GVS;Registered;Yes;;N;;;;01/03/2016;479
197094;Autunnia;Autunnia;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;04/11/2002;60
197109;Azare;Azare;BETAA_VUL_GVS;Registered;Yes;;N;;;;02/02/2018;479
197117;Azzurro;Azzurro;BETAA_VUL_GVS;Surrendered;No;;N;;;;;256
197129;BTS 1740;BTS 1740;BETAA_VUL_GVS;Registered;Yes;;N;;;;07/01/2021;189
197133;BTS 1820 N;BTS 1820 N;BETAA_VUL_GVS;Registered;Yes;;N;;;;07/01/2021;189
197153;BTS 2730;BTS 2730;BETAA_VUL_GVS;Registered;No;;N;;;;02/02/2018;735
197167;BTS 3740;BTS 3740;BETAA_VUL_GVS;Registered;No;;N;;;;25/01/2022;189
197207;BTS 5950 N;BTS 5950 N;BETAA_VUL_GVS;Registered;No;;N;;;;02/02/2018;735
197227;BTS 6990;BTS 6990;BETAA_VUL_GVS;Registered;No;;N;;;Spring;04/02/2020;735
197260;BTS Smart 4825;BTS Smart 4825;BETAA_VUL_GVS;Registered;Yes;;N;;;;25/01/2022;189
197262;BTS Smart 9145 N;BTS Smart 9145 N;BETAA_VUL_GVS;Registered;Yes;;N;;;;07/01/2021;189
197265;BTS Smart 9285 N;BTS Smart 9285 N;BETAA_VUL_GVS;Registered;Yes;;N;;;Spring;04/02/2020;735
197267;BTS Smart 9635;BTS Smart 9635;BETAA_VUL_GVS;Registered;Yes;;N;;;;07/01/2021;189
197268;BTS Smart 9775 N;BTS Smart 9775 N;BETAA_VUL_GVS;Registered;No;;N;;;;07/01/2021;189
197310;Banco;Banco;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;289
197351;Beagle;Beagle;BETAA_VUL_GVS;Registered;Yes;;N;;;;18/06/2018;479
197372;Beniamina KWS;Beniamina KWS;BETAA_VUL_GVS;Surrendered;No;;N;;;Spring;04/02/2020;183
197378;Benvenuta KWS;Benvenuta KWS;BETAA_VUL_GVS;Registered;No;;N;;;;07/01/2021;183
197401;Bianca;Bianca;BETAA_VUL_GVS;Surrendered;No;;N;;;;21/10/2002;264
197426;Bloodhound;Bloodhound;BETAA_VUL_GVS;Registered;Yes;;N;;;;24/05/2018;479
197461;Botticelli;Botticelli;BETAA_VUL_GVS;Registered;Yes;;N;;;;07/01/2021;1762
197473;Break;Break;BETAA_VUL_GVS;Surrendered;No;;N;;;;16/01/2007;1266
197478;Brigantine;Brigantine;BETAA_VUL_GVS;Registered;Yes;;N;;;;25/01/2022;479
197480;Brillante;Brillante;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;587
197481;Briosaros;Briosaros;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;60
197491;Bruna KWS;Bruna KWS;BETAA_VUL_GVS;Surrendered;No;;N;;;;06/05/2009;
197498;Buffalo;Buffalo;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;09/01/2001;264
197503;Bullion;Bullion;BETAA_VUL_GVS;Surrendered;No;;N;;;;;
197504;Bunny;Bunny;BETAA_VUL_GVS;Registered;Yes;;N;;;;20/10/2015;479
197505;Buramo;Buramo;BETAA_VUL_GVS;Registered;No;;N;;;;29/03/2017;479
197509;Bush mono g;Bush mono g;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;
197511;Bustard;Bustard;BETAA_VUL_GVS;Registered;Yes;;N;;;;24/05/2018;479
